year,constituencyNumber,district,constituency,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage
2008,1,Panchaghar,PANCHAGARH-1,MOHAJOTE,4P,156550,107726,48824,18.25
2008,2,Panchaghar,PANCHAGARH-2,MOHAJOTE,4P,142488,91700,50788,21.48
2008,3,Thakurgaon,THAKURGAON-1,MOHAJOTE,4P,177101,120411,56690,18.77
2008,4,Thakurgaon,THAKURGAON-2,MOHAJOTE,4P,102833,98456,4377,2.16
2008,5,Thakurgaon,THAKURGAON-3,MOHAJOTE,4P,160107,46545,113562,52.33
2008,6,Dinajpur,DINAJPUR-1,MOHAJOTE,4P,143097,107168,35929,14.19
2008,7,Dinajpur,DINAJPUR-2,MOHAJOTE,4P,138152,89419,48733,21.24
2008,8,Dinajpur,DINAJPUR-3,MOHAJOTE,4P,140934,107353,33581,13.36
2008,9,Dinajpur,DINAJPUR-4,MOHAJOTE,4P,118188,79133,39055,15.41
2008,10,Dinajpur,DINAJPUR-5,MOHAJOTE,4P,164419,126529,37890,12.89
2008,11,Dinajpur,DINAJPUR-6,AL,4P,133610,132752,858,0.25
2008,12,Nilphamari,NILPHAMARI-1,MOHAJOTE,4P,179657,67190,112467,43.39
2008,13,Nilphamari,NILPHAMARI-2,MOHAJOTE,4P,135626,82324,53302,24.13
2008,14,Nilphamari,NILPHAMARI-3,MOHAJOTE,4P,145688,66849,78839,36.76
2008,15,Nilphamari,NILPHAMARI-4,AL,4P,87319,61087,26232,12.65
2008,16,Lalmonirhat,LALMONIRHAT-1,MOHAJOTE,4P,142340,74219,68121,30.91
2008,17,Lalmonirhat,LALMONIRHAT-2,MOHAJOTE,4P,161677,61599,100078,42.77
2008,18,Lalmonirhat,LALMONIRHAT-3,MOHAJOTE,4P,98217,74653,23564,13.44
2008,19,Rangpur,RANGPUR-1,MOHAJOTE,4P,168989,28270,140719,67.12
2008,20,Rangpur,RANGPUR-2,MOHAJOTE,4P,166271,36586,129685,58.50
2008,21,Rangpur,RANGPUR-3,MOHAJOTE,4P,239046,19640,219406,80.90
2008,22,Rangpur,RANGPUR-4,AL,JP,118807,103643,15164,5.19
2008,23,Rangpur,RANGPUR-5,AL,JP,124684,100348,24336,8.55
2008,24,Rangpur,RANGPUR-6,MOHAJOTE,4P,170542,38672,131870,61.48
2008,25,Kurigram,KURIGRAM-1,MOHAJOTE,4P,209899,92583,117316,36.43
2008,26,Kurigram,KURIGRAM-2,MOHAJOTE,4P,209505,52374,157131,54.28
2008,27,Kurigram,KURIGRAM-3,MOHAJOTE,Others,187528,50544,136984,54.61
2008,28,Kurigram,KURIGRAM-4,AL,JP,73913,53682,20231,10.26
2008,29,Gaibandha,GAIBANDHA-1,MOHAJOTE,4P,160008,72093,87915,37.46
2008,30,Gaibandha,GAIBANDHA-2,MOHAJOTE,4P,166726,48682,118044,53.14
2008,31,Gaibandha,GAIBANDHA-3,MOHAJOTE,4P,179095,76460,102635,36.04
2008,32,Gaibandha,GAIBANDHA-4,AL,4P,145201,70111,75090,26.87
2008,33,Gaibandha,GAIBANDHA-5,AL,JP,98461,94143,4318,1.95
2008,34,Joypurhat,JOYPURHAT-1,4P,MOHAJOTE,164820,130529,34291,11.43
2008,35,Joypurhat,JOYPURHAT-2,4P,MOHAJOTE,116881,113721,3160,1.35
2008,36,Bogra,BOGRA-1,MOHAJOTE,4P,127000,121965,5035,2.01
2008,37,Bogra,BOGRA-2,4P,MOHAJOTE,134359,88977,45382,20.16
2008,38,Bogra,BOGRA-3,4P,Others,104622,84276,20346,9.50
2008,39,Bogra,BOGRA-4,4P,MOHAJOTE,131414,75991,55423,23.76
2008,40,Bogra,BOGRA-5,MOHAJOTE,4P,171177,155325,15852,4.81
2008,41,Bogra,BOGRA-6,4P,MOHAJOTE,193792,74634,119158,43.63
2008,42,Bogra,BOGRA-7,4P,MOHAJOTE,232761,92833,139928,42.59
2008,43,Nawabganj,CHAPAI NABABGANJ-1,MOHAJOTE,4P,139308,116673,22635,7.36
2008,44,Nawabganj,CHAPAI NABABGANJ-2,MOHAJOTE,4P,151085,121969,29116,10.60
2008,45,Nawabganj,CHAPAI NABABGANJ-3,MOHAJOTE,BNP,112753,76178,36575,13.90
2008,46,Naogaon,NAOGAON-1,MOHAJOTE,4P,177251,111089,66162,22.43
2008,47,Naogaon,NAOGAON-2,MOHAJOTE,4P,149480,97732,51748,20.70
2008,48,Naogaon,NAOGAON-3,MOHAJOTE,4P,176562,115740,60822,20.60
2008,49,Naogaon,NAOGAON-4,Others,4P,117086,92899,24187,11.00
2008,50,Naogaon,NAOGAON-5,MOHAJOTE,4P,136643,90662,45981,20.05
2008,51,Naogaon,NAOGAON-6,MOHAJOTE,4P,130985,86990,43995,20.05
2008,52,Rajshahi,RAJSHAHI-1,MOHAJOTE,4P,146786,129450,17336,6.24
2008,53,Rajshahi,RAJSHAHI-2,MOHAJOTE,4P,116599,89050,27549,13.03
2008,54,Rajshahi,RAJSHAHI-3,MOHAJOTE,BNP,142487,93649,48838,18.06
2008,55,Rajshahi,RAJSHAHI-4,MOHAJOTE,4P,107751,83633,24118,11.23
2008,56,Rajshahi,RAJSHAHI-5,MOHAJOTE,4P,124398,108083,16315,6.95
2008,57,Rajshahi,RAJSHAHI-6,MOHAJOTE,4P,126807,99148,27659,12.13
2008,58,Natore,NATORE-1,MOHAJOTE,4P,123835,103814,20021,8.59
2008,59,Natore,NATORE-2,MOHAJOTE,4P,135432,111866,23566,9.37
2008,60,Natore,NATORE-3,MOHAJOTE,4P,127987,78043,49944,23.75
2008,61,Natore,NATORE-4,MOHAJOTE,4P,160549,115409,45140,16.08
2008,62,Sirajgonj,SIRAJGANJ-1,MOHAJOTE,4P,177732,40814,136918,61.90
2008,63,Sirajgonj,SIRAJGANJ-2,4P,AL,128432,126311,2121,0.78
2008,64,Sirajgonj,SIRAJGANJ-3,MOHAJOTE,4P,164752,109525,55227,19.90
2008,65,Sirajgonj,SIRAJGANJ-4,MOHAJOTE,JIB,162503,97463,65040,22.75
2008,66,Sirajgonj,SIRAJGANJ-5,MOHAJOTE,4P,119582,119330,252,0.10
2008,67,Sirajgonj,SIRAJGANJ-6,MOHAJOTE,4P,155299,127374,27925,9.61
2008,68,Pabna,Pabna-1,MOHAJOTE,4P,145012,122944,22068,8.15
2008,69,Pabna,Pabna-2,MOHAJOTE,4P,116730,95000,21730,10.20
2008,70,Pabna,Pabna-3,MOHAJOTE,4P,178974,115190,63784,21.60
2008,71,Pabna,Pabna-4,MOHAJOTE,4P,147334,104901,42433,16.56
2008,72,Pabna,Pabna-5,MOHAJOTE,4P,161413,141663,19750,6.39
2008,73,Meherpur,MEHERPUR-1,MOHAJOTE,BNP,107492,62745,44747,22.02
2008,74,Meherpur,MEHERPUR-2,4P,MOHAJOTE,86768,84279,2489,1.45
2008,75,Kushtia,KUSHTIA-1,MOHAJOTE,4P,145063,102412,42651,17.06
2008,76,Kushtia,KUSHTIA-2,MOHAJOTE,4P,165952,107527,58425,20.09
2008,77,Kushtia,KUSHTIA-3,MOHAJOTE,4P,135125,126554,8571,3.18
2008,78,Kushtia,KUSHTIA-4,AL,4P,131620,115842,15778,6.15
2008,79,Chuadanga,CHUADANGA-1,MOHAJOTE,4P,184793,136889,47904,14.57
