year,constituencyNumber,district,constituency,latitude,longitude
2001,90,Jessore,Jessore6,22.891358,89.265089
2001,110,Borguna,Borguna1,22.172145,90.119276
2001,130,Pirojpur,Pirojpur2,22.740723,90.08749
2001,140,Tangail,Tangail8,24.312059,90.153408
2001,154,Mymensingh,Mymensingh6,24.594583,90.249538
2001,213,Faridpur,Faridpur5,23.417888,90.031385
2001,220,Shariatpur,Shariatpur1,23.344778,90.297804
2001,233,Sylhet,Sylhet6,24.826625,92.13644
2001,235,Maulvibazar,Moulvibazar2,24.524636,92.065029
2001,242,Brahmanbaria,Brahmminbaria1,24.16179,91.169844
2001,274,Noakhali,Noakhali6,22.250971,91.131191
2001,292,Chittagong,Chittagong14,22.027092,92.103481
2001,1,Panchaghar,Panchaghar1,26.530794,88.413749
2001,3,Thakurgaon,Thakurgaon1,26.165299,88.508406
2001,20,Rangpur,Rangpur2,25.730633,89.013777
2001,32,Gaibandha,Gaibandha4,25.170145,89.400845
2001,34,Joypurhat,Joypurhat1,25.176359,89.01515
2001,35,Joypurhat,Joypurhat2,25.055745,89.12776
2001,36,Bogra,Bogra1,24.900139,89.542494
2001,37,Bogra,Bogra2,25.052013,89.318647
2001,38,Bogra,Bogra3,24.892665,89.162092
2001,39,Bogra,Bogra4,24.678218,89.263716
2001,40,Bogra,Bogra5,24.628293,89.486189
2001,41,Bogra,Bogra6,24.840334,89.387312
2001,42,Bogra,Bogra7,24.749326,89.391432
2001,43,Nawabganj,Nawabganj1,24.686952,88.108778
2001,19,Rangpur,Rangpur1,25.855516,89.218397
2001,25,Kurigram,Kurigram1,26.086388,89.691982
2001,27,Kurigram,Kurigram3,25.691038,89.65353
2001,28,Kurigram,Kurigram4,25.616763,89.801846
2001,31,Gaibandha,Gaibandha3,25.311753,89.381618
2001,45,Nawabganj,Nawabganj3,24.580846,88.241987
2001,50,Naogaon,Naogaon5,24.806681,88.89822
2001,61,Sirajgonj,Sirajgonj1,24.665738,89.723768
2001,71,Pabna,Pabna4,24.117928,89.144239
2001,81,Jhenaidah,Jhenaidah1,23.674713,89.24449
2001,91,Magura,Magura1,23.548881,89.409285
2001,93,Narail,Narail1,23.088575,89.55564
2001,94,Narail,Narail2,23.22431,89.55564
2001,95,Bagerhat,Bagerhat1,22.824289,89.771633
2001,97,Bagerhat,Bagerhat3,22.380556,89.686489
2001,99,Khulna,Khulna1,22.548074,89.488735
2001,112,Borguna,Borguna3,22.130171,90.234632
2001,115,Patuakhali,Patuakhali3,22.216649,90.481825
2001,116,Patuakhali,Patuakhali4,21.848753,90.197554
2001,133,Tangail,Tangail1,24.622051,90.032558
2001,139,Tangail,Tangail7,24.159284,90.150661
2001,143,Jamalpur,Jamalpur3,24.906367,89.7579
2001,145,Jamalpur,Jamalpur5,24.854042,90.035305
2001,146,Sherpur,Sherpur1,25.022151,90.014906
2001,149,Mymensingh,Mymensingh1,25.085599,90.4006
2001,151,Mymensingh,Mymensingh3,24.75182,90.603847
2001,155,Mymensingh,Mymensingh7,24.574602,90.436306
2001,158,Mymensingh,Mymensingh10,24.41214,90.515957
2001,159,Mymensingh,Mymensingh11,24.414641,90.384121
2001,162,Netrokona,Netrokona2,24.91384,90.864973
2001,165,Kishoreganj,Kishoreganj1,24.378372,90.668592
2001,166,Kishoreganj,Kishoreganj2,24.437148,90.774336
2001,167,Kishoreganj,Kishoreganj3,24.30455,90.786695
2001,169,Kishoreganj,Kishoreganj5,24.433397,91.088819
2001,171,Kishoreganj,Kishoreganj7,24.210647,90.944624
2001,193,Gazipur,Gazipur1,24.079067,90.284071
2001,194,Gazipur,Gazipur2,23.993781,90.403547
2001,196,Gazipur,Gazipur4,24.000054,90.547743
2001,201,Narsingdi,Narshingdi5,23.984998,90.878706
2001,209,Faridpur,Faridpur1,23.407806,89.683943
