year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,72,Pabna,Pabna-5,24.003817,89.23625,MOHAJOTE,4P,161413,141663,19750,6.39,0
2008,1,Panchaghar,PANCHAGARH-1,26.530794,88.413749,MOHAJOTE,4P,156550,107726,48824,18.25,1
2008,2,Panchaghar,PANCHAGARH-2,26.332807,88.573737,MOHAJOTE,4P,142488,91700,50788,21.48,2
2008,111,Patuakhali,PATUAKHALI-1,22.356426,90.314283,MOHAJOTE,4P,120132,73017,47115,22.72,2
2008,112,Patuakhali,PATUAKHALI-2,22.441495,90.526943,MOHAJOTE,4P,98303,58258,40045,22.29,2
2008,113,Patuakhali,PATUAKHALI-3,22.216649,90.481825,MOHAJOTE,4P,120010,61423,58587,29.7,2
2008,114,Patuakhali,PATUAKHALI-4,21.848753,90.197554,MOHAJOTE,4P,90775,60095,30680,18.48,1
2008,127,Pirojpur,PIROJPUR-1,22.702722,89.97488,AL,4P,101710,94714,6996,3.35,10
2008,128,Pirojpur,PIROJPUR-2,22.740723,90.08749,MOHAJOTE,4P,128544,59428,69116,35.06,3
2008,129,Pirojpur,PIROJPUR-3,22.350076,89.961147,MOHAJOTE,Others,59420,45245,14175,10.39,1
2008,209,Rajbari,RAJBARI-1,23.711181,89.664717,MOHAJOTE,4P,141561,83933,57628,24.31,2
2008,210,Rajbari,RAJBARI-2,23.748897,89.471083,MOHAJOTE,4P,191961,132817,59144,18.02,1
2008,52,Rajshahi,RAJSHAHI-1,24.533382,88.399916,MOHAJOTE,4P,146786,129450,17336,6.24,0
2008,53,Rajshahi,RAJSHAHI-2,24.416517,88.606403,MOHAJOTE,4P,116599,89050,27549,13.03,1
2008,54,Rajshahi,RAJSHAHI-3,24.385251,88.60091,MOHAJOTE,BNP,142487,93649,48838,18.06,1
2008,55,Rajshahi,RAJSHAHI-4,24.61456,88.774624,MOHAJOTE,4P,107751,83633,24118,11.23,1
2008,56,Rajshahi,RAJSHAHI-5,24.445899,88.844862,MOHAJOTE,4P,124398,108083,16315,6.95,0
2008,57,Rajshahi,RAJSHAHI-6,24.229433,88.811903,MOHAJOTE,4P,126807,99148,27659,12.13,1
2008,299,Rangmati,PARBATTYA RANGAMATI-1,22.766051,92.273369,MOHAJOTE,4P,115012,56429,58583,22.67,2
2008,19,Rangpur,RANGPUR-1,25.855516,89.218397,MOHAJOTE,4P,168989,28270,140719,67.12,6
2008,20,Rangpur,RANGPUR-2,25.730633,89.013777,MOHAJOTE,4P,166271,36586,129685,58.5,5
2008,21,Rangpur,RANGPUR-3,25.726921,89.251356,MOHAJOTE,4P,239046,19640,219406,80.9,8
2008,22,Rangpur,RANGPUR-4,25.707125,89.44911,AL,JP,118807,103643,15164,5.19,10
2008,23,Rangpur,RANGPUR-5,25.589517,89.284315,AL,JP,124684,100348,24336,8.55,10
2008,24,Rangpur,RANGPUR-6,25.398623,89.292555,MOHAJOTE,4P,170542,38672,131870,61.48,6
2008,221,Shariatpur,SHARIATPUR-1,23.344778,90.297804,MOHAJOTE,Others,117386,59320,58066,31.58,3
2008,222,Shariatpur,SHARIATPUR-2,23.228727,90.506544,MOHAJOTE,4P,114808,80096,34712,17.72,1
2008,223,Shariatpur,SHARIATPUR-3,23.134046,90.443373,MOHAJOTE,4P,102925,52672,50253,31.66,3
2008,105,Shatkhira,SATKHIRA-1,22.745789,89.21917,MOHAJOTE,4P,168298,141164,27134,8.71,0
2008,106,Shatkhira,SATKHIRA-2,22.725524,89.070854,MOHAJOTE,4P,133422,114557,18865,7.48,0
2008,107,Shatkhira,SATKHIRA-3,22.532854,89.136772,MOHAJOTE,4P,142709,133802,8907,3.18,0
2008,108,Shatkhira,SATKHIRA-4,22.197577,89.153252,MOHAJOTE,4P,151147,117675,33472,12.34,1
2008,143,Sherpur,SHERPUR-1,25.022151,90.014906,MOHAJOTE,4P,136127,110070,26057,10.49,1
2008,144,Sherpur,SHERPUR-2,25.08933,90.181074,MOHAJOTE,4P,156973,75637,81336,34.62,3
2008,145,Sherpur,SHERPUR-3,25.145285,90.021772,MOHAJOTE,4P,106631,65753,40878,18.91,1
2008,62,Sirajgonj,SIRAJGANJ-1,24.665738,89.723768,MOHAJOTE,4P,177732,40814,136918,61.9,6
2008,63,Sirajgonj,SIRAJGANJ-2,24.457151,89.692183,4P,AL,128432,126311,2121,0.78,20
2008,64,Sirajgonj,SIRAJGANJ-3,24.510892,89.44087,MOHAJOTE,4P,164752,109525,55227,19.9,1
2008,65,Sirajgonj,SIRAJGANJ-4,24.372117,89.484816,MOHAJOTE,JIB,162503,97463,65040,22.75,2
2008,66,Sirajgonj,SIRAJGANJ-5,24.290782,89.683943,MOHAJOTE,4P,119582,119330,252,0.1,0
2008,67,Sirajgonj,SIRAJGANJ-6,24.1455,89.622145,MOHAJOTE,4P,155299,127374,27925,9.61,0
2008,224,Sunamganj,SUNAMGANJ-1,25.040816,91.120205,MOHAJOTE,4P,155252,94458,60794,22.75,2
2008,225,Sunamganj,SUNAMGANJ-2,24.779254,91.320705,MOHAJOTE,4P,95593,77889,17704,10.16,1
2008,226,Sunamganj,SUNAMGANJ-3,24.791722,91.554165,MOHAJOTE,4P,134559,56765,77794,40.21,4
2008,227,Sunamganj,SUNAMGANJ-4,25.065697,91.394863,MOHAJOTE,4P,123883,58964,64919,32.76,3
2008,228,Sunamganj,SUNAMGANJ-5,25.010951,91.600857,MOHAJOTE,4P,165697,85197,80500,31.62,3
2008,229,Sylhet,SYLHET-1,24.893911,91.845303,MOHAJOTE,4P,178636,140367,38269,11.77,1
2008,230,Sylhet,SYLHET-2,24.721885,91.850796,MOHAJOTE,4P,109356,106040,3316,1.52,0
2008,231,Sylhet,SYLHET-3,24.766785,91.930447,AL,4P,97593,54955,42638,23.25,12
2008,232,Sylhet,SYLHET-4,25.068185,91.902981,MOHAJOTE,4P,144198,98545,45653,18.65,1
2008,233,Sylhet,SYLHET-5,25.005973,92.284756,MOHAJOTE,4P,109690,78061,31629,15.72,1
2008,234,Sylhet,SYLHET-6,24.826625,92.13644,MOHAJOTE,Others,138353,52611,85742,35.19,3
2008,130,Tangail,TANGAIL-1,24.622051,90.032558,MOHAJOTE,4P,171022,88461,82561,31.63,3
2008,131,Tangail,TANGAIL-2,24.56461,89.889736,MOHAJOTE,4P,144710,103509,41201,16.36,1
2008,132,Tangail,TANGAIL-3,24.492148,90.073757,MOHAJOTE,4P,140642,83076,57566,25.24,2
2008,133,Tangail,TANGAIL-4,24.369615,90.027065,MOHAJOTE,4P,138646,86912,51734,22.68,2
2008,134,Tangail,TANGAIL-5,24.239451,89.87875,MOHAJOTE,4P,147152,72805,74347,28.29,2
2008,135,Tangail,TANGAIL-6,24.069036,89.906216,Others,MOHAJOTE,141434,86799,54635,19.93,41
2008,136,Tangail,TANGAIL-7,24.159284,90.150661,MOHAJOTE,4P,130154,88916,41238,18.44,1
2008,137,Tangail,TANGAIL-8,24.312059,90.153408,MOHAJOTE,4P,134626,65521,69105,28.69,2
2008,3,Thakurgaon,THAKURGAON-1,26.165299,88.508406,MOHAJOTE,4P,177101,120411,56690,18.77,1
2008,4,Thakurgaon,THAKURGAON-2,26.106121,88.31749,MOHAJOTE,4P,102833,98456,4377,2.16,0
2008,5,Thakurgaon,THAKURGAON-3,25.938287,88.427353,MOHAJOTE,4P,160107,46545,113562,52.33,5
,,,,,,,,,,,,
,,,,,,,,,,,,
