year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,251,Comilla,COMILLA-3,23.709924,90.977383,4P,MOHAJOTE,124386,109823,14563,6.11,20
2008,252,Comilla,COMILLA-4,23.616845,90.996609,MOHAJOTE,4P,115056,81365,33691,16.94,1
2008,253,Comilla,COMILLA-5,23.609295,91.120205,MOHAJOTE,4P,143208,77260,65948,29.25,2
2008,254,Comilla,COMILLA-6,23.455688,91.186123,MOHAJOTE,4P,126136,102450,23686,10.19,1
2008,255,Comilla,COMILLA-7,23.443089,90.94717,MOHAJOTE,4P,79440,73933,5507,3.25,0
2008,256,Comilla,COMILLA-8,23.359907,91.035061,MOHAJOTE,4P,141428,121887,19541,7.28,0
2008,257,Comilla,COMILLA-9,23.178239,91.087246,MOHAJOTE,4P,117748,117290,458,0.19,0
2008,258,Comilla,COMILLA-10,23.264057,91.17239,MOHAJOTE,4P,138089,89821,48268,20.75,2
2008,259,Comilla,COMILLA-11,23.163089,91.26852,AL,4P,101201,77924,23277,11.96,11
2008,294,Cox's Bazar,COX'S BAZAR-1,21.790107,92.01519,4P,MOHAJOTE,156512,121111,35401,12.69,21
2008,295,Cox's Bazar,COX'S BAZAR-2,21.601258,91.927299,4P,MOHAJOTE,104271,86944,17327,8.95,20
2008,296,Cox's Bazar,COX'S BAZAR-3,21.488852,92.125053,4P,MOHAJOTE,126478,86536,39942,14.38,21
2008,297,Cox's Bazar,COX'S BAZAR-4,21.079375,92.179985,MOHAJOTE,4P,103626,79310,24316,13.21,1
2008,174,Dhaka,DHAKA-1,23.654588,90.157728,MOHAJOTE,4P,155864,121377,34487,12.11,1
2008,175,Dhaka,DHAKA-2,23.731298,90.296431,MOHAJOTE,4P,180172,124600,55572,17.47,1
2008,176,Dhaka,DHAKA-3,23.649556,90.420027,MOHAJOTE,4P,112623,70680,41943,21.67,2
2008,177,Dhaka,DHAKA-4,23.682259,90.440626,MOHAJOTE,4P,97828,52701,45127,27.69,2
2008,178,Dhaka,DHAKA-5,23.722497,90.466719,AL,4P,153144,99895,53249,18.43,11
2008,179,Dhaka,DHAKA-6,23.737583,90.484571,MOHAJOTE,4P,103737,72456,31281,16.58,1
2008,180,Dhaka,DHAKA-7,23.69232,90.378828,MOHAJOTE,4P,146347,70747,75600,33.15,3
2008,181,Dhaka,DHAKA-8,23.713696,90.406294,MOHAJOTE,4P,97841,63860,33981,20.02,2
2008,182,Dhaka,DHAKA-9,23.756439,90.446119,MOHAJOTE,4P,179756,92227,87529,31.09,3
2008,183,Dhaka,DHAKA-10,23.826808,90.441999,MOHAJOTE,4P,165549,89800,75749,28.35,2
2008,184,Dhaka,DHAKA-11,23.80545,90.406294,MOHAJOTE,4P,130424,73870,56554,26.3,2
