year,constituencyNumber,district,constituency,latitude,longitude
2008,106,Shatkhira,SATKHIRA-2,22.725524,89.070854
2008,107,Shatkhira,SATKHIRA-3,22.532854,89.136772
2008,108,Shatkhira,SATKHIRA-4,22.197577,89.153252
2008,109,Borguna,BARGUNA-1,22.126355,90.260725
2008,110,Borguna,BARGUNA-2,22.290367,90.084944
2008,111,Patuakhali,PATUAKHALI-1,22.356426,90.314283
2008,112,Patuakhali,PATUAKHALI-2,22.441495,90.526943
2008,113,Patuakhali,PATUAKHALI-3,22.216649,90.481825
2008,114,Patuakhali,PATUAKHALI-4,21.848753,90.197554
2008,115,Bhola,BHOLA-1,22.684984,90.645046
2008,116,Bhola,BHOLA-2,22.520169,90.724697
2008,117,Bhola,BHOLA-3,22.355156,90.763149
2008,118,Bhola,BHOLA-4,22.179775,90.73019
2008,119,Barisal,BARISAL-1,22.967245,90.167341
2008,120,Barisal,BARISAL-2,22.892623,90.111036
2008,121,Barisal,BARISAL-3,22.767318,90.326643
2008,122,Barisal,BARISAL-4,22.821757,90.524197
2008,123,Barisal,BARISAL-5,22.672313,90.384321
2008,124,Barisal,BARISAL-6,22.551879,90.376081
2008,125,Jhalokathi,JHALOKATI-1,22.551879,90.141249
2008,126,Jhalokathi,JHALOKATI-2,22.657106,90.198927
2008,127,Pirojpur,PIROJPUR-1,22.702722,89.97488
2008,128,Pirojpur,PIROJPUR-2,22.740723,90.08749
2008,129,Pirojpur,PIROJPUR-3,22.350076,89.961147
2008,130,Tangail,TANGAIL-1,24.622051,90.032558
2008,131,Tangail,TANGAIL-2,24.56461,89.889736
2008,132,Tangail,TANGAIL-3,24.492148,90.073757
2008,133,Tangail,TANGAIL-4,24.369615,90.027065
2008,134,Tangail,TANGAIL-5,24.239451,89.87875
2008,135,Tangail,TANGAIL-6,24.069036,89.906216
2008,136,Tangail,TANGAIL-7,24.159284,90.150661
2008,137,Tangail,TANGAIL-8,24.312059,90.153408
2008,138,Jamalpur,JAMALPUR-1,25.227305,89.818325
2008,139,Jamalpur,JAMALPUR-2,25.110471,89.733181
2008,140,Jamalpur,JAMALPUR-3,24.906367,89.7579
2008,141,Jamalpur,JAMALPUR-4,24.761797,89.845791
2008,142,Jamalpur,JAMALPUR-5,24.854042,90.035305
2008,143,Sherpur,SHERPUR-1,25.022151,90.014906
2008,144,Sherpur,SHERPUR-2,25.08933,90.181074
2008,145,Sherpur,SHERPUR-3,25.145285,90.021772
2008,146,Mymensingh,MYMENSINGH-1,25.085599,90.4006
2008,147,Mymensingh,MYMENSINGH-2,24.948709,90.386867
2008,148,Mymensingh,MYMENSINGH-3,24.75182,90.603847
2008,149,Mymensingh,MYMENSINGH-4,24.749326,90.392361
2008,150,Mymensingh,MYMENSINGH-5,24.744337,90.219326
2008,151,Mymensingh,MYMENSINGH-6,24.594583,90.249538
2008,152,Mymensingh,MYMENSINGH-7,24.574602,90.436306
2008,153,Mymensingh,MYMENSINGH-8,24.666986,90.609341
2008,154,Mymensingh,MYMENSINGH-9,24.532132,90.645046
2008,155,Mymensingh,MYMENSINGH-10,24.41214,90.515957
2008,156,Mymensingh,MYMENSINGH-11,24.414641,90.384121
2008,157,Netrokona,NETRAKONA-1,25.105497,90.792189
2008,158,Netrokona,NETRAKONA-2,24.91384,90.864973
