year,constituencyNumber,district,constituency,latitude,longitude,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage,magnitude
2001,273,Noakhali,Noakhali5,22.804035,91.197109,4P,AL,84578,45972,38606,22.03,22
2001,274,Noakhali,Noakhali6,22.250971,91.131191,Others,AL,39275,33036,6239,6.19,40
2001,275,Laxmipur,Laxmipur1,23.098681,90.870466,4P,AL,68990,32437,36553,34.92,23
2001,276,Laxmipur,Laxmipur2,22.976095,90.74687,4P,AL,123526,44974,78552,45.93,24
2001,277,Laxmipur,Laxmipur3,22.941954,90.910292,4P,AL,95215,41235,53980,38.56,23
2001,278,Laxmipur,Laxmipur4,22.772383,90.869093,4P,Others,45977,44542,1435,1.11,20
2001,279,Chittagong,Chittagong1,22.798971,91.556911,4P,AL,86839,82333,4506,2.63,20
2001,280,Chittagong,Chittagong2,22.614011,91.631069,4P,AL,67512,46045,21467,15.68,21
2001,281,Chittagong,Chittagong3,22.47703,92.054043,4P,AL,69546,39135,30411,27.88,22
2001,282,Chittagong,Chittagong4,22.692586,91.782131,AL,4P,108011,82518,25493,13.20,11
2001,283,Chittagong,Chittagong5,22.522706,91.809597,4P,AL,84063,73938,10125,6.14,20
2001,284,Chittagong,Chittagong6,22.60894,91.916714,AL,4P,74669,67340,7329,5.11,10
2001,285,Chittagong,Chittagong7,22.47703,92.054043,4P,AL,65116,55267,9849,7.42,20
2001,286,Chittagong,Chittagong8,22.261139,91.790371,4P,AL,181584,129198,52386,16.37,21
2001,287,Chittagong,Chittagong9,22.334833,91.787624,4P,AL,131639,111935,19704,7.90,20
2001,288,Chittagong,Chittagong10,22.383095,91.850796,4P,AL,112308,90380,21928,10.32,21
2001,289,Chittagong,Chittagong11,22.248429,92.012844,4P,AL,79914,63250,16664,10.82,21
2001,290,Chittagong,Chittagong12,22.215377,91.883755,4P,AL,76473,68187,8286,5.52,20
2001,291,Chittagong,Chittagong13,22.159427,92.117214,4P,AL,70016,57700,12316,9.46,20
2001,292,Chittagong,Chittagong14,22.027092,92.103481,Others,4P,106569,64184,42385,19.19,41
2001,293,Chittagong,Chittagong15,21.999082,91.957912,4P,AL,100856,56314,44542,27.61,22
2001,294,Cox's Bazar,Cox's Bazar1,21.790107,92.01519,4P,AL,134602,74297,60305,28.39,22
2001,295,Cox's Bazar,Cox's Bazar2,21.601258,91.927299,4P,AL,103503,49190,54313,35.47,23
2001,296,Cox's Bazar,Cox's Bazar3,21.488852,92.125053,4P,AL,113895,8312,105583,85.20,28
2001,297,Cox's Bazar,Cox's Bazar4,21.079375,92.179985,4P,AL,89747,48735,41012,29.62,22
2001,298,Khagrachari,Khagrachari,23.120154,91.957912,4P,AL,93859,55309,38550,20.66,22
2001,299,Rangamati,Rangamati,22.766051,92.273369,4P,AL,68744,51000,17744,13.04,21
2001,300,Bandarban,Bandarban,21.884438,92.386379,AL,4P,39550,38697,853,0.84,10
,,,,,,,,,,,,
